ano;uf;cod1;cod2;nome;habitantes
2014;RO;11;00015;Alta Floresta D'Oeste;25652
2014;RO;11;00379;Alto Alegre dos Parecis;13884
2014;RO;11;00403;Alto Paraíso;19841
2014;RO;11;00346;Alvorada D'Oeste;17228
2014;RO;11;00023;Ariquemes;102860
2014;RO;11;00452;Buritis;37207
2014;RO;11;00031;Cabixi;6424
2014;RO;11;00601;Cacaulândia;6318
2014;RO;11;00049;Cacoal;86556
2014;RO;11;00700;Campo Novo de Rondônia;14081
2014;RO;11;00809;Candeias do Jamari;23573
2014;RO;11;00908;Castanheiras;3653
2014;RO;11;00056;Cerejeiras;18013
2014;RO;11;00924;Chupinguaia;9887
2014;RO;11;00064;Colorado do Oeste;19001
2014;RO;11;00072;Corumbiara;8938
2014;RO;11;00080;Costa Marques;16258
2014;RO;11;00940;Cujubim;20204
2014;RO;11;00098;Espigão D'Oeste;32047
2014;RO;11;01005;Governador Jorge Teixeira;10327
2014;RO;11;00106;Guajará-Mirim;46203
2014;RO;11;01104;Itapuã do Oeste;9831
2014;RO;11;00114;Jaru;55669
2014;RO;11;00122;Ji-Paraná;129242
2014;RO;11;00130;Machadinho D'Oeste;36412
2014;RO;11;01203;Ministro Andreazza;10860
2014;RO;11;01302;Mirante da Serra;12414
2014;RO;11;01401;Monte Negro;15710
2014;RO;11;00148;Nova Brasilândia D'Oeste;21511
2014;RO;11;00338;Nova Mamoré;26925
2014;RO;11;01435;Nova União;7853
2014;RO;11;00502;Novo Horizonte do Oeste;10393
2014;RO;11;00155;Ouro Preto do Oeste;40010
2014;RO;11;01450;Parecis;5589
2014;RO;11;00189;Pimenta Bueno;37230
2014;RO;11;01468;Pimenteiras do Oeste;2432
2014;RO;11;00205;Porto Velho;494013
2014;RO;11;00254;Presidente Médici;22783
2014;RO;11;01476;Primavera de Rondônia;3548
2014;RO;11;00262;Rio Crespo;3709
2014;RO;11;00288;Rolim de Moura;55807
2014;RO;11;00296;Santa Luzia D'Oeste;8706
2014;RO;11;01484;São Felipe D'Oeste;6160
2014;RO;11;01492;São Francisco do Guaporé;18640
2014;RO;11;00320;São Miguel do Guaporé;23803
